Origen,Destino,Distancia,Tipo
Harrenhal,Winterfell,1870,t
Harrenhal,Riverrun,410,t
Casterly Rock,Lannisport,64,t
Casterly Rock,Riverrun,680,t
Casterly Rock,King's Landing,1340,t
Lannisport,Iron Islands,1050,m
Winterfell,Cerwyn,160,t
Winterfell,Deepwood Motte,560,t
Winterfell,Riverrun,2290,t
Winterfell,White Harbor,550,t
Winterfell,Dreadfort,560,t
Winterfell,King's Landing,2300,t
Winterfell,Castle Black,1050,t
Cerwyn,Moat Cailin,420,t
Bear Island,Deepwood Motte,225,m
Bear Island,Iron Islands,2415,m
Riverrun,Seagard,400,t
Riverrun,King's Landing,1300,t
Riverrun,Dragon Stone,960,t
Highgarden,Old Town,530,t
Highgarden,King's Landing,1220,t
Old Town,The Arbor,480,m
Seagard,Iron Islands,500,m
King's Landing,Storm's End,630,t
